subjectID	Yhaplotype	Single_copy_depth	DYZ1_depth	DYZ1_norm_coverage	Num_samples
NA21111	H1	2.37016761199318	556.235044818544	234.681733900996	1
HG03846	H1	2.26466920302751	281.341728093041	124.230827052768	1
HG03941	H1	3.50834808616568	939.626984435152	267.826042729438	1
HG02786	H1	3.88530844849249	691.693220731462	178.027878584477	1
HG03633	H1	3.39749851281236	690.644668338535	203.280344563518	1
HG03644	H1	5.36429112800249	638.435719611271	119.015859575281	1
HG04060	H1	2.41530462618232	300.53303898876	124.428627234399	1
NA21112	H1	3.01362284328432	1080.06272825215	358.393463421944	1
HG04235	H1	3.133342958253	617.655009075441	197.12333354655	1
HG03027	E1a	5.59098821329364	1054.55920783684	188.617676805224	1
NA18910	E1a	1.96904370852304	318.992355662943	162.003694627081	1
HG01882	E1a	3.81269137053371	720.205890246533	188.896981227651	1
HG03024	E1a	2.87319117581759	975.012626567585	339.348329750504	1
HG03096	E1a	4.40680069864329	633.070236110557	143.657560076511	1
NA19189	E1a	1.91771040361847	583.162476878876	304.093087141064	1
NA18856	E1a	6.14424121825457	1081.39729936277	176.001765059277	3
HG02570	E1a	4.37103638772423	661.259881521323	151.282172662398	1
HG02634	E1a	4.19322409224448	718.130348748332	171.259711608674	1
HG03258	E1a	3.67316764478139	702.057578012396	191.13137376396	1
HG01094	E1a	2.27377129172218	388.68752593873	170.943985155312	1
HG03246	E1a	2.54450824958686	600.325672740332	235.9299376757	1
HG03048	E1a	1.7625843407129	260.96044939663	148.055581437358	1
HG02461	E1a	3.88880376026793	658.564935988547	169.348976340008	1
HG02810	E1a	4.56568567054146	712.203566334763	155.990494687362	1
NA19239	E1a	2.11772732294707	353.243992860761	166.803341031261	1
HG03439	E1a	3.01420804710815	797.767111522593	264.668894467313	1
